0.023724,-1.5708,0.44839,0.338,-12.353,22.732,14.057,9.6411,6.6785,-0.346,-0.208,-0.012,0.232,0.0032169,0.0070262,0.012195,0.017385,22.674,13.942,9.4711,6.4486
0.023724,-1.5707,0.44839,0.338,-12.353,22.735,14.056,9.6413,6.6788,-0.346,-0.208,-0.012,0.232,0.0032166,0.0070264,0.012195,0.017385,22.676,13.941,9.4712,6.4491
0.023724,-1.5705,0.44839,0.338,-12.353,22.737,14.054,9.6414,6.6792,-0.346,-0.208,-0.012,0.232,0.0032162,0.0070266,0.012195,0.017385,22.678,13.94,9.4713,6.4495
0.023724,-1.5704,0.44839,0.338,-12.353,22.739,14.053,9.6415,6.6796,-0.346,-0.208,-0.012,0.232,0.0032159,0.0070268,0.012195,0.017385,22.681,13.939,9.4714,6.4499
0.023724,-1.5703,0.44839,0.338,-12.353,22.741,14.052,9.6417,6.6799,-0.346,-0.208,-0.012,0.232,0.0032156,0.0070279,0.012195,0.017385,22.683,13.938,9.4715,6.4503
0.023724,-1.5701,0.44839,0.338,-12.353,22.743,14.051,9.6418,6.6803,-0.346,-0.208,-0.012,0.232,0.0032153,0.0070292,0.012195,0.017385,22.685,13.936,9.4716,6.4507
0.023724,-1.57,0.44839,0.338,-12.353,22.746,14.05,9.6419,6.6806,-0.346,-0.208,-0.012,0.232,0.003215,0.0070304,0.012196,0.017385,22.687,13.935,9.4717,6.4511
0.023724,-1.5699,0.44839,0.338,-12.353,22.748,14.048,9.6421,6.681,-0.346,-0.208,-0.012,0.232,0.0032147,0.0070317,0.012196,0.017385,22.689,13.934,9.4718,6.4515
0.023724,-1.5697,0.44839,0.338,-12.353,22.75,14.047,9.6422,6.6813,-0.346,-0.208,-0.012,0.232,0.0032144,0.007033,0.012196,0.017386,22.692,13.933,9.4719,6.4519
0.023724,-1.5696,0.44839,0.338,-12.353,22.752,14.046,9.6423,6.6816,-0.346,-0.208,-0.012,0.232,0.0032141,0.0070343,0.012196,0.017386,22.694,13.932,9.472,6.4523
0.023724,-1.5695,0.44839,0.338,-12.353,22.754,14.045,9.6424,6.682,-0.346,-0.208,-0.012,0.232,0.0032138,0.0070355,0.012196,0.017386,22.696,13.93,9.472,6.4527
0.023724,-1.5694,0.44839,0.338,-12.353,22.756,14.043,9.6425,6.6823,-0.346,-0.208,-0.012,0.232,0.0032134,0.0070368,0.012196,0.017387,22.698,13.929,9.4721,6.4533
0.023724,-1.5692,0.44839,0.338,-12.353,22.758,14.042,9.6426,6.6826,-0.346,-0.208,-0.012,0.232,0.0032131,0.0070381,0.012196,0.017388,22.7,13.928,9.4722,6.4539
0.023724,-1.5691,0.44839,0.338,-12.353,22.76,14.041,9.6427,6.6829,-0.346,-0.208,-0.012,0.232,0.0032128,0.0070394,0.012197,0.017389,22.702,13.927,9.4722,6.4545
0.023724,-1.569,0.44839,0.338,-12.353,22.762,14.04,9.6428,6.6832,-0.346,-0.208,-0.012,0.232,0.0032125,0.0070407,0.012197,0.01739,22.704,13.925,9.4723,6.4551
0.023724,-1.5688,0.44839,0.338,-12.353,22.765,14.038,9.6428,6.6835,-0.346,-0.208,-0.012,0.232,0.0032123,0.007042,0.012197,0.017391,22.706,13.924,9.4723,6.4557
0.023724,-1.5687,0.44839,0.338,-12.353,22.767,14.037,9.6429,6.6838,-0.346,-0.208,-0.012,0.232,0.003212,0.0070432,0.012197,0.017392,22.708,13.923,9.4723,6.4563
0.023724,-1.5686,0.44839,0.338,-12.353,22.769,14.036,9.643,6.6841,-0.346,-0.208,-0.012,0.232,0.0032117,0.0070445,0.012197,0.017393,22.711,13.922,9.4724,6.4568
0.023724,-1.5684,0.44839,0.338,-12.353,22.771,14.034,9.643,6.6844,-0.346,-0.208,-0.012,0.232,0.0032114,0.0070458,0.012197,0.017394,22.713,13.92,9.4724,6.4574
0.023724,-1.5683,0.44839,0.338,-12.353,22.773,14.033,9.6431,6.6846,-0.346,-0.208,-0.012,0.232,0.0032111,0.0070471,0.012198,0.017395,22.715,13.919,9.4724,6.458
0.023724,-1.5682,0.44839,0.338,-12.353,22.775,14.032,9.6431,6.6849,-0.346,-0.208,-0.012,0.232,0.0032108,0.0070484,0.012198,0.017396,22.717,13.918,9.4724,6.4585
0.023724,-1.568,0.44839,0.338,-12.353,22.777,14.03,9.6432,6.6852,-0.346,-0.208,-0.012,0.232,0.0032105,0.0070497,0.012198,0.017397,22.719,13.916,9.4724,6.4591
0.023724,-1.5679,0.44839,0.338,-12.353,22.779,14.029,9.6432,6.6855,-0.346,-0.208,-0.012,0.232,0.0032102,0.007051,0.012198,0.017399,22.721,13.915,9.4724,6.4596
0.023724,-1.5678,0.44839,0.338,-12.353,22.781,14.028,9.6432,6.6857,-0.346,-0.208,-0.012,0.232,0.00321,0.0070523,0.012198,0.017401,22.723,13.914,9.4724,6.4601
0.023724,-1.5677,0.44839,0.338,-12.353,22.783,14.026,9.6432,6.686,-0.346,-0.208,-0.012,0.232,0.0032097,0.0070536,0.012198,0.017403,22.725,13.912,9.4724,6.4606
0.023724,-1.5675,0.44839,0.338,-12.353,22.785,14.025,9.6433,6.6862,-0.346,-0.208,-0.012,0.232,0.0032094,0.0070549,0.012199,0.017404,22.727,13.911,9.4724,6.4612
0.023724,-1.5674,0.44839,0.338,-12.353,22.787,14.024,9.6433,6.6865,-0.346,-0.208,-0.012,0.232,0.0032091,0.0070562,0.012199,0.017406,22.729,13.91,9.4723,6.4617
