0.242,-0.14798,0.4473,0.3771,-12.597,3.5451,2.4382,1.9193,1.5061,-0.362,-0.248,-0.082,0.128,0.016203,0.030643,0.043281,0.055121,3.2082,1.9007,1.2022,0.68556
0.242,-1.1333,0.4473,0.3771,-12.597,15.225,10.647,8.262,6.0092,-0.358,-0.238,-0.066,0.146,0.0045558,0.0082396,0.012395,0.016278,15.152,10.518,8.0736,5.7134
0.242,-0.046193,0.4473,0.3771,-12.597,2.8613,2.0509,1.6782,1.3729,-0.36,-0.244,-0.076,0.136,0.020031,0.036243,0.048345,0.062649,2.4526,1.4429,0.89794,0.52258
0.242,-0.9083,0.4473,0.3771,-12.597,16.448,10.957,8.2234,5.8216,-0.358,-0.24,-0.07,0.14,0.0040156,0.0078306,0.012296,0.016612,16.376,10.827,8.0312,5.5082
0.242,-1.5147,0.4473,0.3771,-12.597,14.779,9.0599,6.5627,4.8146,-0.356,-0.234,-0.062,0.154,0.0044362,0.0096931,0.01564,0.02045,14.691,8.9024,6.3216,4.4598
0.242,-0.40349,0.4473,0.3771,-12.597,7.7411,4.8336,3.5275,2.4474,-0.362,-0.248,-0.082,0.126,0.0077221,0.01654,0.026299,0.034765,7.5804,4.5347,3.087,1.7989
0.242,-1.5208,0.4473,0.3771,-12.597,14.73,9.0294,6.5254,4.7948,-0.356,-0.234,-0.062,0.154,0.004454,0.0097282,0.015739,0.02052,14.642,8.8712,6.283,4.4385
0.242,-0.47936,0.4473,0.3771,-12.597,9.0426,5.983,4.2857,2.9225,-0.362,-0.246,-0.08,0.128,0.0067714,0.013597,0.022171,0.029986,8.9116,5.7362,3.9175,2.3443
0.242,-0.97145,0.4473,0.3771,-12.597,17.428,10.66,8.3311,6.0139,-0.358,-0.238,-0.07,0.142,0.0035899,0.0081792,0.012226,0.016142,17.357,10.533,8.1437,5.7115
0.242,-0.87087,0.4473,0.3771,-12.597,15.367,10.877,7.9912,5.6973,-0.358,-0.24,-0.072,0.14,0.0044091,0.0077615,0.012642,0.01688,15.294,10.744,7.7946,5.3747
0.242,-0.50312,0.4473,0.3771,-12.597,9.2206,6.3054,4.5454,3.0933,-0.362,-0.246,-0.08,0.128,0.0066469,0.012932,0.021006,0.028552,9.0971,6.0723,4.1969,2.5368
0.242,-0.063234,0.4473,0.3771,-12.597,2.9235,2.0928,1.7046,1.3874,-0.36,-0.244,-0.076,0.134,0.019633,0.035475,0.047687,0.061641,2.5244,1.4933,0.93173,0.54042
0.242,-1.1701,0.4473,0.3771,-12.597,14.26,10.368,8.2197,5.8847,-0.358,-0.236,-0.066,0.148,0.0048232,0.0084573,0.012418,0.016692,14.187,10.238,8.0291,5.5873
