,deltaR
OLS_sp,0.9999999983956697
OLS_pi,0.9990592996193809
DT_sp,0.9999994838581996
DT_pi,0.9999995063348666
RF_sp,0.999999794658275
RF_pi,0.9999997690957121
IRF_sp,0.9999998030284757
IRF_pi,0.9999997690957121
AB_sp,0.9999997756470321
AB_pi,0.9999997589795535
GB_sp,0.9982028169913786
GB_pi,0.998202220354496
