-0.38805,-0.22596,0.81472,-0.14798,-0.4,0.06469,0.99666,0.31311,0.19045,0.17845,0,2,69,173,277,0,1.463,46.8,50.281,32.218,0,1.2701,0.53509,0.3742,0.1511,0
-0.33357,-0.16418,0.81472,-0.14798,-0.3,0.12292,0.82062,0.2586,0.15841,0.13729,0.11128,2,37,92,147,203,1.5461,24.827,26.035,27.184,26.446,1.2898,0.45609,0.30073,0.26413,0.20762
-0.30657,-0.15064,0.81472,-0.14798,-0.2,0.16228,0.71396,0.233,0.14533,0.12049,0.092794,2,29,70,112,153,1.4174,18.767,19.882,20.103,20.188,1.1215,0.41003,0.27792,0.22411,0.1849
-0.28211,-0.14453,0.81472,-0.14798,-0.1,0.19463,0.62981,0.21673,0.138,0.10512,0.096731,2,24,59,93,128,1.3712,15.619,16.632,16.654,17.221,0.99603,0.37978,0.26048,0.2027,0.18805
-0.2631,-0.13547,0.81472,-0.14798,0,0.22312,0.55621,0.20383,0.13048,0.10268,0.085838,2,21,51,82,112,1.3342,13.635,14.398,14.818,14.56,0.87763,0.35828,0.24145,0.19974,0.16361
-0.24886,-0.12873,0.81472,-0.14798,0.1,0.24915,0.49388,0.19352,0.12219,0.098354,0.083273,2,19,46,73,100,1.2524,12.199,12.917,13.051,13.383,0.74149,0.3409,0.23105,0.18474,0.16478
-0.23911,-0.12414,0.81472,-0.14798,0.2,0.27349,0.44008,0.18442,0.11883,0.091501,0.079775,2,17,42,67,91,1.1597,11.139,11.772,12.012,11.94,0.61497,0.32471,0.22171,0.17935,0.15092
-0.22984,-0.12202,0.81472,-0.14798,0.3,0.29665,0.38767,0.17818,0.11314,0.090717,0.075682,2,16,39,62,84,1.0653,10.232,10.841,11.042,11.189,0.49272,0.31292,0.21232,0.17127,0.14983
-0.22068,-0.12067,0.81472,-0.14798,0.4,0.31896,0.34007,0.17199,0.10946,0.084694,0.073996,2,15,36,57,78,0.96685,9.5216,10.105,10.269,10.278,0.38125,0.30171,0.2058,0.16546,0.14059
-0.19493,-0.27671,0.12699,-0.13607,-0.4,0.06469,-0.15502,0.24351,0.15156,0.14369,0,2,62,165,270,0,1.4926,46.394,50.755,39.729,0,0.33031,0.4132,0.30015,0.17626,0
-0.11805,-0.21051,0.12699,-0.13607,-0.3,0.12292,-0.1616,0.17749,0.10416,0.09458,0.073093,2,32,87,142,198,0.89466,24.645,25.975,27.286,26.211,0.091286,0.31062,0.2012,0.18028,0.13506
-0.086528,-0.18707,0.12699,-0.13607,-0.2,0.16228,0.14824,0.089079,0.074729,0.055482,0.058368,24,66,108,149,190,18.595,19.89,19.974,20.12,21.058,0.25858,0.17285,0.1367,0.11172,0.11677
-0.065749,-0.16923,0.12699,-0.13607,-0.1,0.19463,0.1309,0.081951,0.05945,0.057764,0.046731,20,55,89,124,159,15.425,16.67,16.551,17.339,16.747,0.22573,0.15393,0.116,0.11164,0.088973
-0.053443,-0.15177,0.12699,-0.13607,0,0.22312,0.1165,0.073871,0.058091,0.046612,0.042612,18,48,78,108,138,13.458,14.327,14.912,14.652,14.909,0.20386,0.13463,0.11321,0.090816,0.08423
-0.045635,-0.13921,0.12699,-0.13607,0.1,0.24915,0.10674,0.064736,0.052915,0.044575,0.039875,16,43,70,97,124,12.051,12.891,12.942,13.515,13.113,0.1878,0.12433,0.097684,0.089239,0.074962
